query,category,funnel,geography,addition
Where can I go on a trip to relax and unwind?,Wellness,High,San Francisco,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind?,Wellness,High,Seattle,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind?,Wellness,High,Australia,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind in North America?,Wellness,High,All,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind in North America?,Wellness,High,Los Angeles,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind in North America?,Wellness,High,San Francisco,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind in North America?,Wellness,High,Seattle,Give me sources for your answer where applicable.
Where can I go on a trip to relax and unwind in North America?,Wellness,High,Australia,Give me sources for your answer where applicable.
What cities are relaxing to visit rather than overwhelming?,Wellness,High,All,Give me sources for your answer where applicable.
What cities are relaxing to visit rather than overwhelming?,Wellness,High,Los Angeles,Give me sources for your answer where applicable.
What cities are relaxing to visit rather than overwhelming?,Wellness,High,San Francisco,Give me sources for your answer where applicable.
What cities are relaxing to visit rather than overwhelming?,Wellness,High,Seattle,Give me sources for your answer where applicable.
What cities are relaxing to visit rather than overwhelming?,Wellness,High,Australia,Give me sources for your answer where applicable.
"What cities in North America offer a refreshing, energizing experience?",Wellness,High,All,Give me sources for your answer where applicable.
"What cities in North America offer a refreshing, energizing experience?",Wellness,High,Los Angeles,Give me sources for your answer where applicable.
"What cities in North America offer a refreshing, energizing experience?",Wellness,High,San Francisco,Give me sources for your answer where applicable.
"What cities in North America offer a refreshing, energizing experience?",Wellness,High,Seattle,Give me sources for your answer where applicable.
"What cities in North America offer a refreshing, energizing experience?",Wellness,High,Australia,Give me sources for your answer where applicable.
Is Vancouver a relaxing place to visit?,Wellness,Mid,All,Give me sources for your answer where applicable.
Is Vancouver a relaxing place to visit?,Wellness,Mid,Los Angeles,Give me sources for your answer where applicable.
Is Vancouver a relaxing place to visit?,Wellness,Mid,San Francisco,Give me sources for your answer where applicable.
Is Vancouver a relaxing place to visit?,Wellness,Mid,Seattle,Give me sources for your answer where applicable.
Is Vancouver a relaxing place to visit?,Wellness,Mid,Australia,Give me sources for your answer where applicable.
Is Vancouver a good place to relax?,Wellness,Mid,All,Give me sources for your answer where applicable.
Is Vancouver a good place to relax?,Wellness,Mid,Los Angeles,Give me sources for your answer where applicable.
Is Vancouver a good place to relax?,Wellness,Mid,San Francisco,Give me sources for your answer where applicable.
Is Vancouver a good place to relax?,Wellness,Mid,Seattle,Give me sources for your answer where applicable.
Is Vancouver a good place to relax?,Wellness,Mid,Australia,Give me sources for your answer where applicable.
What should I do in Vancouver to relax?,Wellness,Low,All,Give me sources for your answer where applicable.
What should I do in Vancouver to relax?,Wellness,Low,Los Angeles,Give me sources for your answer where applicable.
What should I do in Vancouver to relax?,Wellness,Low,San Francisco,Give me sources for your answer where applicable.
What should I do in Vancouver to relax?,Wellness,Low,Seattle,Give me sources for your answer where applicable.
What should I do in Vancouver to relax?,Wellness,Low,Australia,Give me sources for your answer where applicable.
What are the best food cities in North America?,Food,High,All,Give me sources for your answer where applicable.
What are the best food cities in North America?,Food,High,Los Angeles,Give me sources for your answer where applicable.
What are the best food cities in North America?,Food,High,San Francisco,Give me sources for your answer where applicable.
What are the best food cities in North America?,Food,High,Seattle,Give me sources for your answer where applicable.
What are the best food cities in North America?,Food,High,Australia,Give me sources for your answer where applicable.
"I love travelling for food, where should I go?",Food,High,All,Give me sources for your answer where applicable.
"I love travelling for food, where should I go?",Food,High,Los Angeles,Give me sources for your answer where applicable.
"I love travelling for food, where should I go?",Food,High,San Francisco,Give me sources for your answer where applicable.
"I love travelling for food, where should I go?",Food,High,Seattle,Give me sources for your answer where applicable.
"I love travelling for food, where should I go?",Food,High,Australia,Give me sources for your answer where applicable.
What cities are best known for high quality food?,Food,High,All,Give me sources for your answer where applicable.
What cities are best known for high quality food?,Food,High,Los Angeles,Give me sources for your answer where applicable.
What cities are best known for high quality food?,Food,High,San Francisco,Give me sources for your answer where applicable.
What cities are best known for high quality food?,Food,High,Seattle,Give me sources for your answer where applicable.
What cities are best known for high quality food?,Food,High,Australia,Give me sources for your answer where applicable.
Is Vancouver a good destination for food lovers?,Food,Mid,All,Give me sources for your answer where applicable.
Is Vancouver a good destination for food lovers?,Food,Mid,Los Angeles,Give me sources for your answer where applicable.
Is Vancouver a good destination for food lovers?,Food,Mid,San Francisco,Give me sources for your answer where applicable.
Is Vancouver a good destination for food lovers?,Food,Mid,Seattle,Give me sources for your answer where applicable.
Is Vancouver a good destination for food lovers?,Food,Mid,Australia,Give me sources for your answer where applicable.
What kind of food is Vancouver known for?,Food,Mid,All,Give me sources for your answer where applicable.
What kind of food is Vancouver known for?,Food,Mid,Los Angeles,Give me sources for your answer where applicable.
What kind of food is Vancouver known for?,Food,Mid,San Francisco,Give me sources for your answer where applicable.
What kind of food is Vancouver known for?,Food,Mid,Seattle,Give me sources for your answer where applicable.
What kind of food is Vancouver known for?,Food,Mid,Australia,Give me sources for your answer where applicable.
Where are the best places to eat in Vancouver?,Food,Low,All,Give me sources for your answer where applicable.
Where are the best places to eat in Vancouver?,Food,Low,Los Angeles,Give me sources for your answer where applicable.
Where are the best places to eat in Vancouver?,Food,Low,San Francisco,Give me sources for your answer where applicable.
Where are the best places to eat in Vancouver?,Food,Low,Seattle,Give me sources for your answer where applicable.
Where are the best places to eat in Vancouver?,Food,Low,Australia,Give me sources for your answer where applicable.
